nom_dep,nom_prov,nom_dist,nom_ccpp,objectid,ubigeo_ccpp,p94_ccppesce,tipo_ccpp,vivitotal,vivitot_hab,pobl_total,vivicon_conex,poblcon_accesoserv,tenen_serv,conserv_formabast,p105_tienesistagua,p107_cuentasistdispexcr,p107a_realizdispexcr,p107a_realizdispexcr_pozocieg,lat,lng
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,EL MOLINO,315243,0101010012,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,300,300,1412,0,0,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.250534000000016,-77.89031699999998
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SAN FRANCISCO,315264,0101010038,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,5,5,20,5,20,Con servicio,Abastecido por centro poblado vecino,No,No,Si,No,-6.283975999999996,-77.93601999999998
AMAZONAS,CHACHAPOYAS,ASUNCION,CHORRO,315267,0101020003,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,2,2,6,2,6,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-5.9801180000000045,-77.73887500000001
AMAZONAS,CHACHAPOYAS,ASUNCION,BATAN,315269,0101020005,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,2,2,6,2,6,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-5.9921620000000075,-77.730502
AMAZONAS,CHACHAPOYAS,ASUNCION,SHAMBAR,315274,010102,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,14,13,23,14,23,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-5.996132999999986,-77.74320399999999
AMAZONAS,CHACHAPOYAS,ASUNCION,NICARMAL,315275,010102,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,18,15,28,18,28,Con servicio,Abastecido por centro poblado vecino,No,No,Si,No,-5.996132999999986,-77.74320399999999
AMAZONAS,CHACHAPOYAS,BALSAS,SACSHE,315282,0101030007,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,30,30,80,18,48,Con servicio,Abastecido por centro poblado vecino,No,No,Si,No,-6.82960700000001,-78.01399199999997
AMAZONAS,CHACHAPOYAS,CHETO,HUACAPAMPA,315314,0101040016,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,49,40,100,49,100,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.28903200000002,-77.695198
AMAZONAS,CHACHAPOYAS,CHILIQUIN,PULBILON,315328,0101050011,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,21,18,78,21,78,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.089751999999976,-77.80415799999997
AMAZONAS,CHACHAPOYAS,CHILIQUIN,CUCHAPAMPA,315357,0101050043,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,7,7,18,7,18,Con servicio,Abastecido por centro poblado vecino,No,No,No,Si,-6.154387999999983,-77.74874
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,NUEVO PORVENIR,315398,010106,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,35,30,125,0,0,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.934893999999986,-77.89507099999997
AMAZONAS,CHACHAPOYAS,GRANADA,DIOSAN,315401,0101070003,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,44,44,190,44,190,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.102885000000015,-77.628172
AMAZONAS,CHACHAPOYAS,GRANADA,GUILLIPCHA,315403,0101070006,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,25,25,59,25,59,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.124289999999974,-77.61592999999999
AMAZONAS,CHACHAPOYAS,GRANADA,SAVIAJCHA,315404,0101070007,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,4,4,15,4,15,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.129819999999995,-77.60570999999999
AMAZONAS,CHACHAPOYAS,GRANADA,CAMELLAN,315405,0101070008,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,5,2,3,5,2,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.128109999999992,-77.62500999999997
AMAZONAS,CHACHAPOYAS,GRANADA,SHUNDURA,315409,0101070013,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,1,1,1,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.107082999999989,-77.61906199999999
AMAZONAS,CHACHAPOYAS,LA JALCA,HUACAS,315421,0101090008,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,12,5,15,12,15,Con servicio,Abastecido por centro poblado vecino,No,No,Si,Si,-6.477993000000026,-77.84260499999999
AMAZONAS,CHACHAPOYAS,LA JALCA,NUEVO HUACAS,315422,0101090009,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,37,30,92,37,92,Con servicio,Abastecido por centro poblado vecino,No,No,Si,Si,-6.473047000000008,-77.82879600000001
AMAZONAS,CHACHAPOYAS,LA JALCA,BUIQUIL,315425,0101090012,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,35,27,61,35,61,Con servicio,Abastecido por centro poblado vecino,No,No,Si,Si,-6.476566999999989,-77.83681100000001
AMAZONAS,CHACHAPOYAS,LA JALCA,LAMILAN,315447,0101090037,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,10,5,11,5,11,Con servicio,Abastecido por centro poblado vecino,No,No,Si,Si,-6.511877000000027,-77.815742
AMAZONAS,CHACHAPOYAS,LA JALCA,CAULINGAS,315452,0101090051,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,12,3,12,10,12,Con servicio,Abastecido por centro poblado vecino,No,No,Si,Si,-6.519731999999976,-77.82633499999997
AMAZONAS,CHACHAPOYAS,LA JALCA,USQUITA,315453,0101090052,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,20,1,1,18,1,Con servicio,Abastecido por centro poblado vecino,No,No,Si,Si,-6.514218000000028,-77.82511299999999
AMAZONAS,CHACHAPOYAS,LA JALCA,QUELUCAS,315456,0101090055,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,45,40,93,40,93,Con servicio,Abastecido por centro poblado vecino,No,No,Si,Si,-6.531591999999989,-77.82683500000002
AMAZONAS,CHACHAPOYAS,LA JALCA,TUVIUJ,315491,0101090106,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,3,1,5,3,5,Con servicio,Abastecido por centro poblado vecino,No,No,Si,Si,-6.4879680000000235,-77.82420000000002
AMAZONAS,CHACHAPOYAS,LA JALCA,LA UNION,315510,0101090129,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,30,26,94,26,94,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.555902000000003,-77.82811299999997
AMAZONAS,CHACHAPOYAS,LA JALCA,PIUJSHIJ,315533,0101090152,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,7,2,8,7,8,Con servicio,Abastecido por centro poblado vecino,No,No,Si,Si,-6.473694000000023,-77.82397500000002
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,CHINCHANGO,315589,0101100005,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,5,5,11,5,11,Con servicio,Abastecido por centro poblado vecino,No,Si,,,-6.6960750000000075,-77.79838799999999
