nom_dep,nom_prov,nom_dist,nom_ccpp,objectid,ubigeo_ccpp,tipo_encuesta,p94_ccppesce,tipo_ccpp,vivitotal,vivitot_hab,pobl_total,vivicon_conex,poblcon_accesoserv,tenen_serv,sinserv_formabast,p105_tienesistagua,p107_cuentasistdispexcr,p107a_realizdispexcr,p107a_realizdispexcr_pozocieg,lat,lng
ANCASH,BOLOGNESI,TICLLOS,RANCON,321030,0205150018,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,5,5,15,0,0,Sin servicio,"Camión, cisterna o similar",No,No,No,Si,-10.242976999999996,-77.177052
ANCASH,CASMA,CASMA,SANTA MELANIA,321637,0208010002,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,34,0,116,0,0,Sin servicio,"Camión, cisterna o similar",No,No,Si,No,-9.446428000000026,-78.34161399999999
ANCASH,CASMA,COMANDANTE NOEL,TORTUGAS,321730,0208030002,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,2000,180,600,0,0,Sin servicio,"Camión, cisterna o similar",No,No,Si,No,-9.360457999999994,-78.40986700000002
ANCASH,HUARMEY,HUARMEY,TUQUILLO,322675,0211010020,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,58,0,65,0,0,Sin servicio,"Camión, cisterna o similar",No,No,Si,No,-10.019186999999988,-78.19430699999998
ANCASH,HUARMEY,HUARMEY,VISTA ALEGRE,322676,0211010021,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Pequeña ciudad,1100,0,3000,0,0,Sin servicio,"Camión, cisterna o similar",No,No,Si,Si,-10.030950000000018,-78.16318000000001
ANCASH,SANTA,CHIMBOTE,MONTE CHIMBOTE,325669,0218010079,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,20,0,250,0,0,Sin servicio,"Camión, cisterna o similar",No,No,Si,No,-9.055417999999975,-78.56814100000003
ANCASH,SANTA,CACERES DEL PERU,PAUCATSI,325691,0218020018,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,2,0,0,Sin servicio,"Camión, cisterna o similar",No,No,No,Si,-8.90834000000001,-78.14667700000001
ANCASH,SANTA,CACERES DEL PERU,PISIN ALTO,325723,0218020053,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,5,0,0,Sin servicio,"Camión, cisterna o similar",No,No,Si,No,-8.961822999999981,-78.14624700000002
ANCASH,SANTA,NEPEÑA,MAQUINA VIEJA,326005,0218060009,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,3,3,12,0,0,Sin servicio,"Camión, cisterna o similar",No,No,Si,No,-9.159715000000006,-78.24906700000003
ANCASH,SANTA,NEPEÑA,QUISQUE ALTO,326019,0218060024,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,5,0,0,Sin servicio,"Camión, cisterna o similar",No,No,Si,No,-9.164155999999991,-78.23972900000001
