nom_dep,nom_prov,nom_dist,nom_ccpp,objectid,ubigeo_ccpp,compl_encuesta,tipo_encuesta,p94_ccppesce,tipo_ccpp,vivitotal,vivitot_hab,pobl_total,vivicon_conex,poblcon_accesoserv,tenen_serv,sinserv_formabast,p105_tienesistagua,p107_cuentasistdispexcr,p107a_realizdispexcr,p107a_realizdispexcr_pozocieg,coordx_padre,lat,lng
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PENCAPAMPA,315254,0101010027,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,35,29,250,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,No,Si,NA,-6.259819999999991,-77.898323
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,HIDALGO,315256,0101010030,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,2,2,3,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,Si,No,NA,-6.259558000000027,-77.93892
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,OPELEL YUNGUILLA,315263,0101010037,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,23,22,35,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,No,Si,NA,-6.242100999999991,-77.80967600000002
AMAZONAS,CHACHAPOYAS,CHETO,MITO CHICO,315317,0101040025,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,2,2,3,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,No,Si,NA,-6.274567999999988,-77.697472
AMAZONAS,CHACHAPOYAS,CHILIQUIN,ALIZO,315325,0101050008,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,3,2,5,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,No,Si,NA,-6.087702999999976,-77.803248
AMAZONAS,CHACHAPOYAS,CHILIQUIN,LA AGUAÑA,315330,0101050013,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,3,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,No,Si,NA,-6.106966999999997,-77.79505499999999
AMAZONAS,CHACHAPOYAS,CHILIQUIN,MORILLO,315352,0101050036,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,1,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,No,Si,NA,-6.079778999999974,-77.80697900000001
AMAZONAS,CHACHAPOYAS,CHILIQUIN,ISHPINGO,315354,0101050039,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,3,1,2,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,No,Si,NA,-6.094789999999989,-77.78620000000001
AMAZONAS,CHACHAPOYAS,HUANCAS,YUNGA,315411,0101080002,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,3,2,7,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,Si,No,NA,-6.147213000000022,-77.90377799999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,CASHAPATA,315592,0101100008,NO,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,No registra población,4,0,0,0,0,Sin servicio,"Manantial, pozo, agua de lluvia",No,No,No,Si,NA,-6.6717499999999745,-77.79043300000001
