nom_dep,nom_prov,nom_dist,nom_ccpp,objectid,ubigeo_ccpp,compl_encuesta,tipo_encuesta,p94_ccppesce,tipo_ccpp,vivitotal,vivitot_hab,pobl_total,vivicon_conex,poblcon_accesoserv,tenen_serv,sinserv_formabast,p105_tienesistagua,p107_cuentasistdispexcr,p107a_realizdispexcr,p107a_realizdispexcr_pozocieg,lat,lng
AMAZONAS,CHACHAPOYAS,CHETO,MOJON,315303,0101040003,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,4,0,0,Sin servicio,Otro,No,No,No,Si,-6.268809999999974,-77.71251999999998
AMAZONAS,CHACHAPOYAS,CHETO,FORTALEZA,315304,0101040004,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,3,0,0,Sin servicio,Otro,No,No,No,Si,-6.279631999999992,-77.70019300000001
AMAZONAS,CHACHAPOYAS,CHETO,MAUSHAN,315306,0101040006,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,3,0,0,Sin servicio,Otro,No,No,No,Si,-6.294080000000008,-77.71838000000002
AMAZONAS,CHACHAPOYAS,CHETO,SANTA ELENA,315307,0101040007,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,1,0,0,Sin servicio,Otro,No,No,No,Si,-6.266639999999995,-77.69773700000002
AMAZONAS,CHACHAPOYAS,CHETO,SALINAS,315308,0101040009,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,10,10,20,0,0,Sin servicio,Otro,No,No,No,Si,-6.281557000000021,-77.66376000000002
AMAZONAS,CHACHAPOYAS,CHETO,GAJMAL,315309,0101040011,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,3,3,5,0,0,Sin servicio,Otro,No,No,No,Si,-6.283209999999997,-77.69240500000001
AMAZONAS,CHACHAPOYAS,CHETO,AYAYACO,315310,0101040012,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,2,0,0,Sin servicio,Otro,No,No,No,Si,-6.273833000000025,-77.69711000000001
AMAZONAS,CHACHAPOYAS,CHETO,PUMA YACU,315311,0101040013,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,2,0,0,Sin servicio,Otro,No,No,No,Si,-6.290707999999995,-77.70522499999998
AMAZONAS,CHACHAPOYAS,CHETO,PUNTO Y COMA,315312,0101040014,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,2,0,0,Sin servicio,Otro,No,No,No,Si,-6.316089999999974,-77.70967999999999
AMAZONAS,CHACHAPOYAS,CHETO,ROMERAL,315313,0101040015,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,2,0,0,Sin servicio,Otro,No,No,No,Si,-6.31796300000002,-77.70658100000003
AMAZONAS,CHACHAPOYAS,CHETO,LLUY POTRERO,315315,0101040021,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,2,2,4,0,0,Sin servicio,Otro,No,No,No,Si,-6.294286999999997,-77.70746700000001
AMAZONAS,CHACHAPOYAS,CHETO,SHURUPCHO,315316,0101040022,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,1,1,2,0,0,Sin servicio,Otro,No,No,No,Si,-6.268967999999973,-77.69842699999998
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,MIRAFLORES,315590,0101100006,NO,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,11,0,28,0,0,Sin servicio,Otro,No,No,Si,No,-6.6894379999999956,-77.79260199999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,BONDA,315591,0101100007,NO,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,6,0,12,0,0,Sin servicio,Otro,No,No,Si,No,-6.680678,-77.78873199999998
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,ISHPINGO,315599,0101100016,NO,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,93,0,210,0,0,Sin servicio,Otro,No,No,Si,Si,-6.7189200000000255,-77.82266800000002
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,SAN MIGUEL,315613,0101100030,NO,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,13,0,42,0,0,Sin servicio,Otro,No,No,Si,No,-6.723878000000013,-77.79794500000003
AMAZONAS,CHACHAPOYAS,LEVANTO,UNDULUG,315682,0101110036,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,4,1,2,0,0,Sin servicio,Otro,No,No,No,Si,-6.290503000000001,-77.86985800000002
AMAZONAS,CHACHAPOYAS,MAGDALENA,ONCECHA,315687,0101120006,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,2,2,2,0,0,Sin servicio,Otro,No,No,Si,No,-6.38449300000002,-77.90196300000002
AMAZONAS,CHACHAPOYAS,MAGDALENA,LLUYCUNGA,315698,0101120019,SI,Independiente,CCPP CON VIVIENDAS Y POBLACIÓN UBICADO,Rural,3,3,8,0,0,Sin servicio,Otro,No,No,No,Si,-6.392547999999977,-77.838618
